Feature,Description,Type,NumOrCat,Domain,Domain_min,Domain_max
age,age in years,int,Num,na,na,na
sex,(1 = male; 0 = female),int,Cat,[1 0],0,1
cp,chest pain type,int,Cat,[0 1 2 3],0,3
trtbps,resting blood pressure (in mm Hg on admission to the hospital),int,Num,na,na,na
chol,serum cholestoral in mg/dl,int,Num,na,na,na
fbs,(fasting blood sugar &gt; 120 mg/dl) (1 = true; 0 = false),int,Cat,[1 0],0,1
restecg,resting electrocardiographic results,int,Cat,[0 1 2],0,2
thalachh,maximum heart rate achieved,int,Num,na,na,na
exng,exercise induced angina (1 = yes; 0 = no),int,Cat,[1 0],0,1
oldpeak,ST depression induced by exercise relative to rest,float,Num,na,na,na
slp,the slope of the peak exercise ST segment,int,Cat,[0 1 2],0,2
caa,number of major vessels (0-3) colored by flourosopy,int,Cat,[0 1 2 3 4],0,4
thall,3 = normal; 6 = fixed defect; 7 = reversable defect,int,Cat,[0 1 2 3],0,3
output,1 (heart disease) or 0,int,Cat,[1 0],0,1
